日期,每日使用保证金(元),每日套利收益(元)
2022/1/4,5060779,923882
2022/1/5,4542253,926034
2022/1/6,4475991,827171
2022/1/7,4556243,732905
2022/1/10,4215473,786266
2022/1/11,5042991,1078006
2022/1/12,4506200,1278661
2022/1/13,5371257,1304307
2022/1/14,4854941,1521533
2022/1/17,4488717,863877
2022/1/18,5128806,975849
2022/1/19,5405042,1002622
2022/1/20,4428717,911655
2022/1/21,4286249,1141869
2022/1/24,4853773,820153
2022/1/25,5816503,2689962
2022/1/26,5142459,1911964
2022/1/27,5460875,1598210
2022/1/28,7640986,1592591
2022/2/7,5423227,1136256
2022/2/8,5888412,2171405
2022/2/9,5210990,1987521
2022/2/10,5926715,1255264
2022/2/11,6411178,1459902
2022/2/14,6461823,1759414
2022/2/15,6190051,1722985
2022/2/16,6757015,1440016
2022/2/17,7022097,1408942
2022/2/18,6412933,1146155
2022/2/21,5285179,780245
2022/2/22,6520291,2051209
2022/2/23,5943340,1886767
2022/2/24,7490076,2551021
2022/2/25,6647578,1719471
2022/2/28,6569975,1416454
2022/3/1,6050759,1685240
2022/3/2,6776064,1440177
2022/3/3,6802562,1584997
2022/3/4,6890040,2222860
2022/3/7,8007145,3818249
2022/3/8,10483397,1684809
2022/3/9,11190605,1855562
2022/3/10,12817713,1413536
2022/3/11,8150937,3647383
2022/3/14,14380331,3439381
2022/3/15,19314842,7258736
2022/3/16,15686456,7433073
2022/3/17,16366248,8132643
2022/3/18,15011751,5857527
2022/3/21,11382507,2242845
2022/3/22,12088205,1842534
2022/3/23,11067155,1549041
2022/3/24,11792251,1924727
2022/3/25,14426105,3885627
2022/3/28,12428735,4132381
2022/3/29,15051235,2768603
2022/3/30,10414644,4169717
2022/3/31,13538930,1877745
2022/4/1,11117318,1921019
2022/4/6,12469248,2323140
2022/4/7,13133244,3115946
2022/4/8,9515851,2176167
2022/4/11,13273473,2068710
2022/4/12,11526708,3941988
2022/4/13,12020288,3153190
2022/4/14,12639795,3119564
2022/4/15,11002878,1731898
2022/4/18,10671395,2367718
2022/4/19,10929876,1780732
2022/4/20,12862255,3549531
2022/4/21,13380073,3844284
2022/4/22,12316587,2068528
2022/4/25,16746429,8044253
2022/4/26,19417209,4694245
2022/4/27,12063555,2478680
2022/4/28,11639386,3271016
2022/4/29,11192197,3504506
2022/5/5,13926708,1979047
2022/5/6,17147070,6378189
2022/5/9,15225738,3653007
2022/5/10,12915096,3913842
2022/5/11,15144889,4229023
2022/5/12,15252858,3331025
2022/5/13,11261191,1362170
2022/5/16,16627691,2509777
2022/5/17,12199785,1711770
2022/5/18,13443506,2200696
2022/5/19,11250790,2320112
2022/5/20,10474603,1488642
2022/5/23,10126102,1525648
2022/5/24,12458694,2928111
2022/5/25,11103710,1887761
2022/5/26,11020073,1997869
2022/5/27,11462706,2803667
2022/5/30,11603974,1188252
2022/5/31,9359484,1319839
2022/6/1,10732946,1534008
2022/6/2,9697171,1448362
2022/6/6,8844080,2031911
2022/6/7,10363089,1028091
2022/6/8,9880652,1893355
2022/6/9,11306716,1396590
2022/6/10,9456012,3084991
2022/6/13,9135183,1675572
2022/6/14,9550343,4590694
2022/6/15,10376614,3881118
2022/6/16,10309827,2117661
2022/6/17,12313740,1121125
2022/6/20,9999861,1191173
2022/6/21,10177962,1714495
2022/6/22,8123526,1830721
2022/6/23,9665234,1730292
2022/6/24,10093440,1591309
2022/6/27,9535043,1918434
2022/6/28,10485677,2269338
2022/6/29,10905311,3269949
2022/6/30,12784085,2073402
2022/7/1,12085714,1405521
2022/7/4,13068290,1757707
2022/7/5,12310772,2489216
2022/7/6,11456023,2571417
2022/7/7,10337511,1775462
2022/7/8,11235692,2505948
2022/7/11,10422148,2518457
2022/7/12,11924739,1840338
2022/7/13,10875560,1353144
2022/7/14,12276932,1853345
2022/7/15,12623118,2835336
2022/7/18,10301220,1703710
2022/7/19,8960957,1828315
2022/7/20,9073335,1107258
2022/7/21,11258411,2198872
2022/7/22,9243219,1294513
2022/7/25,10807712,1072290
2022/7/26,9853606,1682571
2022/7/27,9501138,989668
2022/7/28,10112971,2463612
2022/7/29,10240527,1486099
2022/8/1,9470996,2058956
2022/8/2,11633783,1623408
2022/8/3,12145315,3363737
2022/8/4,9128636,1262041
2022/8/5,9392348,3068757
2022/8/8,9539151,2019866
2022/8/9,9398467,1714617
2022/8/10,12599278,2369502
2022/8/11,9639788,2917802
2022/8/12,9595236,1575075
2022/8/15,10754282,1268202
2022/8/16,10682677,1905732
2022/8/17,9017950,1920614
2022/8/18,10593331,895914
2022/8/19,11041751,1948009
2022/8/22,9206101,1365454
2022/8/23,9245411,1567082
2022/8/24,10698557,4389221
2022/8/25,9258752,3342203
2022/8/26,9090802,2088905
2022/8/29,9356982,2420229
2022/8/30,9618561,2146821
2022/8/31,9464775,1954778
2022/9/1,9874991,2407125
2022/9/2,10155597,2712776
2022/9/5,10400531,3067287
2022/9/6,8050300,1562849
2022/9/7,8675112,960130
2022/9/8,9623899,1372583
2022/9/9,8111155,1434848
2022/9/13,8548945,1468815
2022/9/14,8354293,1828290
2022/9/15,9056670,1363085
2022/9/16,10830170,2215463
2022/9/19,8452463,1071384
2022/9/20,9130322,1268504
2022/9/21,9443784,1585829
2022/9/22,9304668,1357841
2022/9/23,9172307,1710619
2022/9/26,10562251,2373351
2022/9/27,8265350,2195727
2022/9/28,10826898,1911369
2022/9/29,9019733,1339591
2022/9/30,10107313,1899668
2022/10/10,11797409,4085240
2022/10/11,12135583,1015905
2022/10/12,8884254,2950504
2022/10/13,11706844,1835125
2022/10/14,10639753,1763556
2022/10/17,11515043,1316998
2022/10/18,10418598,1582456
2022/10/19,11960448,2447079
2022/10/20,11392545,1313584
2022/10/21,12953270,1664526
2022/10/24,11156731,2981551
2022/10/25,12413139,1657612
2022/10/26,12169131,2363789
2022/10/27,12700053,2596087
2022/10/28,13926819,4332331
2022/10/31,15341118,2871483
2022/11/1,9560171,6812498
2022/11/2,12237527,5161364
2022/11/3,11858908,3776280
2022/11/4,11126768,4798370
2022/11/7,12893966,2139584
2022/11/8,13375056,2746573
2022/11/9,13399382,3995444
